"","PCType","Sex","Category","Age","Party"
"1","1","2","1","2","TDP"
"2","2","2","2","3","INC"
"3","3","2","3","2","INC"
"4","3","2","3","2","INC"
"5","3","2","3","2","INC"
"6","3","1","3","2","TRS"
"7","3","2","2","3","INC"
"8","3","2","3","2","INC"
"9","3","2","3","2","AIMIM"
"10","3","2","3","3","INC"
"11","3","2","3","3","TRS"
"12","2","2","2","3","INC"
"13","3","2","3","3","INC"
"14","3","2","3","2","INC"
"15","2","2","2","3","INC"
"16","1","2","1","2","INC"
"17","3","2","3","2","TDP"
"18","1","2","1","3","INC"
"19","3","1","3","2","INC"
"20","3","1","3","2","INC"
"21","3","1","3","2","INC"
"22","3","2","3","3","INC"
"23","3","2","3","2","INC"
"24","2","2","2","2","INC"
"25","3","2","3","3","INC"
"26","3","2","3","3","INC"
"27","3","2","3","3","INC"
"28","3","2","3","3","TDP"
"29","3","2","3","2","INC"
"30","3","2","3","3","INC"
"31","3","2","3","2","TDP"
"32","2","1","2","2","INC"
"33","3","2","3","3","INC"
"34","3","2","3","3","INC"
"35","3","2","3","3","INC"
"36","3","2","3","3","INC"
"37","3","2","3","3","TDP"
"38","3","2","3","2","INC"
"39","3","2","3","3","INC"
"40","2","2","2","3","INC"
"41","3","2","3","3","INC"
"42","2","2","2","3","TDP"
"43","3","2","1","2","INC"
"44","3","2","1","2","INC"
"45","2","2","2","3","INC"
"46","3","2","3","3","BJP"
"47","1","2","1","3","INC"
"48","3","2","3","3","AUDF"
"49","1","2","1","2","BOPF"
"50","3","2","3","3","INC"
"51","3","1","3","3","BJP"
"52","3","2","3","3","BJP"
"53","3","2","3","3","AGP"
"54","3","2","3","3","BJP"
"55","3","2","3","3","INC"
"56","3","2","3","1","INC"
"57","3","2","3","3","INC"
"58","3","1","3","2","INC"
"59","3","2","3","3","JD(U)"
"60","3","2","3","2","BJP"
"61","3","2","3","3","BJP"
"62","3","1","3","3","BJP"
"63","3","2","3","2","JD(U)"
"64","3","2","3","3","BJP"
"65","3","2","3","3","JD(U)"
"66","3","2","3","2","JD(U)"
"67","3","2","3","2","BJP"
"68","3","2","3","3","INC"
"69","3","2","3","3","BJP"
"70","3","2","3","3","BJP"
"71","3","2","3","3","JD(U)"
"72","3","2","3","2","BJP"
"73","3","2","3","1","JD(U)"
"74","3","2","3","3","RJD"
"75","2","2","2","3","JD(U)"
"76","3","2","3","2","IND"
"77","3","2","3","3","RJD"
"78","3","2","3","3","RJD"
"79","2","2","2","1","JD(U)"
"80","3","1","3","2","JD(U)"
"81","2","2","2","2","JD(U)"
"82","3","2","3","3","JD(U)"
"83","3","2","3","2","JD(U)"
"84","3","2","3","2","BJP"
"85","3","2","3","3","IND"
"86","3","2","3","3","JD(U)"
"87","3","2","3","2","JD(U)"
"88","3","2","3","3","BJP"
"89","3","2","3","3","JD(U)"
"90","3","1","3","2","JD(U)"
"91","3","2","3","3","RJD"
"92","2","1","2","3","INC"
"93","3","2","3","3","JD(U)"
"94","3","2","3","3","JD(U)"
"95","3","2","3","2","JD(U)"
"96","2","2","2","2","BJP"
"97","3","2","3","3","BJP"
"98","2","2","2","2","JD(U)"
"99","3","2","3","3","BJP"
"100","3","2","3","3","INC"
"101","2","1","2","2","BJP"
"102","3","2","3","2","INC"
"103","3","2","3","3","INC"
"104","3","1","3","2","BJP"
"105","3","2","3","3","BJP"
"106","3","2","3","1","BJP"
"107","3","2","3","3","BJP"
"108","2","2","2","3","BJP"
"109","3","2","3","3","INC"
"110","3","2","3","3","INC"
"111","3","2","3","3","INC"
"112","3","2","3","3","INC"
"113","3","2","3","3","BJP"
"114","3","2","3","3","BJP"
"115","3","2","3","3","BJP"
"116","3","2","3","3","INC"
"117","3","2","3","3","INC"
"118","3","2","3","3","BJP"
"119","1","1","1","3","INC"
"120","3","2","3","2","BJP"
"121","1","2","1","3","BJP"
"122","3","2","3","3","BJP"
"123","1","2","1","2","INC"
"124","3","1","3","2","BJP"
"125","3","2","3","3","BJP"
"126","1","2","1","2","INC"
"127","2","1","2","2","INC"
"128","3","2","3","2","INC"
"129","2","2","2","2","INC"
"130","3","2","3","1","HJCBL"
"131","3","2","3","2","INC"
"132","3","2","3","2","INC"
"133","3","2","3","2","INC"
"134","3","1","3","2","INC"
"135","3","2","3","3","INC"
"136","3","2","3","3","INC"
"137","3","2","3","3","BJP"
"138","3","2","3","3","INC"
"139","3","2","3","2","BJP"
"140","2","2","2","3","BJP"
"141","3","2","3","3","JKN"
"142","3","2","3","3","JKN"
"143","3","2","3","3","JKN"
"144","3","2","1","3","IND"
"145","3","2","3","2","INC"
"146","3","2","3","3","INC"
"147","3","2","3","2","BJP"
"148","3","2","3","3","BJP"
"149","3","2","3","3","BJP"
"150","2","2","2","3","BJP"
"151","2","2","2","3","INC"
"152","1","2","1","3","BJP"
"153","3","2","3","3","INC"
"154","3","2","3","3","BJP"
"155","1","1","1","2","BJP"
"156","3","2","3","2","BJP"
"157","3","2","3","2","BJP"
"158","3","2","3","2","BJP"
"159","3","2","3","3","BJP"
"160","3","2","3","2","BJP"
"161","3","2","3","3","BJP"
"162","3","2","3","1","JD(S)"
"163","3","2","3","2","BJP"
"164","2","2","2","2","BJP"
"165","3","2","3","3","BJP"
"166","3","2","3","2","JD(S)"
"167","3","2","3","3","INC"
"168","2","2","2","2","INC"
"169","3","2","3","2","JD(S)"
"170","3","2","3","3","BJP"
"171","3","2","3","2","BJP"
"172","3","2","3","2","BJP"
"173","3","2","3","3","INC"
"174","2","2","2","3","INC"
"175","3","2","3","3","CPM"
"176","3","2","3","3","INC"
"177","3","2","3","3","INC"
"178","3","2","3","3","INC"
"179","3","2","3","3","INC"
"180","3","2","3","3","MUL"
"181","3","2","3","3","MUL"
"182","3","2","3","2","CPM"
"183","2","2","2","2","CPM"
"184","3","2","3","3","INC"
"185","3","2","3","3","INC"
"186","3","2","3","3","INC"
"187","3","2","3","3","INC"
"188","3","2","3","2","KEC(M)"
"189","3","2","3","2","INC"
"190","2","2","2","2","INC"
"191","3","2","3","3","INC"
"192","3","2","3","3","INC"
"193","3","2","3","2","CPM"
"194","3","2","3","3","INC"
"195","3","2","3","2","BJP"
"196","2","2","2","2","BJP"
"197","3","1","3","3","BJP"
"198","3","2","3","2","INC"
"199","3","2","3","2","BJP"
"200","2","2","2","3","BJP"
"201","3","2","3","3","BJP"
"202","3","2","3","2","BJP"
"203","3","2","3","2","BJP"
"204","3","2","3","2","BSP"
"205","3","2","3","3","BJP"
"206","1","1","1","3","INC"
"207","3","2","3","2","BJP"
"208","1","2","1","3","INC"
"209","3","2","3","3","BJP"
"210","3","2","3","3","INC"
"211","3","2","3","2","INC"
"212","3","1","3","3","BJP"
"213","3","2","3","1","BJP"
"214","3","2","3","3","INC"
"215","2","2","2","3","INC"
"216","2","2","2","2","INC"
"217","3","1","3","2","INC"
"218","1","2","1","3","INC"
"219","1","2","1","2","INC"
"220","3","1","3","3","BJP"
"221","1","2","1","3","BJP"
"222","3","2","3","2","INC"
"223","1","1","1","2","BJP"
"224","1","2","1","3","INC"
"225","3","2","3","3","BJP"
"226","3","2","3","2","BJP"
"227","3","2","3","3","BJP"
"228","3","2","3","2","SHS"
"229","3","2","3","2","BJP"
"230","2","2","2","3","SHS"
"231","3","2","3","3","INC"
"232","2","2","2","2","INC"
"233","3","2","3","3","INC"
"234","3","2","3","3","NCP"
"235","1","2","1","3","INC"
"236","3","2","3","3","BJP"
"237","3","1","3","2","SHS"
"238","3","2","3","2","SHS"
"239","3","2","3","3","INC"
"240","3","2","3","3","SHS"
"241","3","2","3","3","BJP"
"242","3","2","3","3","SHS"
"243","1","2","1","3","BJP"
"244","3","2","3","2","NCP"
"245","1","2","1","3","BVA"
"246","3","2","3","3","INC"
"247","3","2","3","2","SHS"
"248","3","2","3","2","NCP"
"249","3","2","3","2","INC"
"250","3","2","3","3","INC"
"251","3","2","3","2","NCP"
"252","3","1","3","2","INC"
"253","3","2","3","3","INC"
"254","3","2","3","2","INC"
"255","3","2","3","3","SHS"
"256","3","2","3","3","SHS"
"257","3","2","3","3","INC"
"258","3","1","3","2","NCP"
"259","3","2","3","3","SHS"
"260","3","2","3","3","BJP"
"261","2","2","2","3","SHS"
"262","3","2","3","3","BJP"
"263","3","2","3","3","NCP"
"264","2","2","2","3","INC"
"265","2","2","2","3","INC"
"266","3","2","3","3","NCP"
"267","3","2","3","2","INC"
"268","3","2","3","2","NCP"
"269","3","2","3","2","INC"
"270","3","2","3","3","IND"
"271","3","2","3","2","SWP"
"272","3","2","3","3","INC"
"273","1","2","1","3","INC"
"274","1","2","1","2","INC"
"275","1","1","1","2","NCP"
"276","1","2","1","3","INC"
"277","1","2","1","3","NPF"
"278","3","2","3","2","INC"
"279","1","2","1","3","INC"
"280","3","2","3","3","INC"
"281","1","2","1","2","BJD"
"282","1","2","1","2","BJD"
"283","3","2","3","3","INC"
"284","2","2","2","3","BJD"
"285","2","2","2","3","BJD"
"286","3","2","3","3","BJD"
"287","3","2","3","2","BJD"
"288","3","2","3","3","INC"
"289","1","2","1","2","INC"
"290","3","2","3","3","BJD"
"291","3","2","3","3","BJD"
"292","3","2","3","2","BJD"
"293","2","2","2","2","CPI"
"294","3","2","3","2","BJD"
"295","3","2","3","3","BJD"
"296","3","2","3","3","BJD"
"297","3","2","3","2","BJD"
"298","1","2","1","3","BJD"
"299","3","2","3","3","INC"
"300","3","2","3","2","BJP"
"301","3","2","3","3","SAD"
"302","2","2","2","3","INC"
"303","2","1","2","3","INC"
"304","3","2","3","2","INC"
"305","3","2","3","2","INC"
"306","2","2","2","1","INC"
"307","2","1","2","3","SAD"
"308","3","2","2","2","SAD"
"309","3","1","3","2","SAD"
"310","3","2","3","2","INC"
"311","3","1","3","3","INC"
"312","2","2","2","3","INC"
"313","2","2","2","3","BJP"
"314","3","2","3","3","BJP"
"315","3","2","3","1","INC"
"316","3","2","3","3","INC"
"317","3","2","3","2","INC"
"318","3","2","3","3","INC"
"319","3","2","3","2","INC"
"320","2","2","2","3","INC"
"321","2","2","2","2","INC"
"322","1","2","1","3","IND"
"323","3","2","3","3","INC"
"324","3","2","3","2","INC"
"325","3","1","3","2","INC"
"326","3","2","3","3","INC"
"327","3","1","3","3","INC"
"328","3","2","3","2","INC"
"329","3","2","3","2","BJP"
"330","1","2","1","2","INC"
"331","1","2","1","3","INC"
"332","3","1","3","3","INC"
"333","3","2","3","3","INC"
"334","3","2","3","3","INC"
"335","3","2","3","2","INC"
"336","3","2","3","2","BJP"
"337","3","2","3","3","SDF"
"338","2","2","2","3","ADMK"
"339","3","2","3","3","DMK"
"340","3","2","3","2","ADMK"
"341","3","2","3","2","DMK"
"342","3","2","3","3","DMK"
"343","2","2","2","2","INC"
"344","3","2","3","3","DMK"
"345","3","2","3","2","DMK"
"346","3","2","3","3","DMK"
"347","3","2","3","2","DMK"
"348","3","2","3","3","DMK"
"349","3","2","3","3","INC"
"350","2","2","2","3","ADMK"
"351","3","2","3","3","DMK"
"352","3","2","3","3","ADMK"
"353","3","2","3","2","DMK"
"354","3","2","3","3","MDMK"
"355","3","2","3","3","ADMK"
"356","2","2","2","2","DMK"
"357","3","2","3","3","CPM"
"358","3","2","3","2","ADMK"
"359","3","2","3","3","INC"
"360","3","2","3","3","ADMK"
"361","3","2","3","2","ADMK"
"362","3","2","3","3","INC"
"363","3","2","3","3","ADMK"
"364","2","2","2","2","DMK"
"365","3","2","3","3","DMK"
"366","3","2","3","3","INC"
"367","3","2","3","3","DMK"
"368","3","2","3","3","INC"
"369","3","2","3","2","INC"
"370","3","2","3","2","DMK"
"371","3","2","3","2","DMK"
"372","2","2","2","2","CPI"
"373","3","2","3","3","INC"
"374","3","1","3","2","DMK"
"375","3","2","3","3","CPM"
"376","1","2","1","3","CPM"
"377","3","2","3","3","BSP"
"378","3","1","3","2","BSP"
"379","3","2","3","2","BSP"
"380","3","2","3","2","RLD"
"381","2","2","2","2","SP"
"382","3","2","3","2","INC"
"383","3","1","3","2","SP"
"384","3","2","3","1","BSP"
"385","3","2","3","2","RLD"
"386","3","2","3","3","BJP"
"387","3","2","3","3","RLD"
"388","3","2","3","3","BJP"
"389","3","2","3","2","BSP"
"390","2","2","2","2","SP"
"391","3","1","3","2","BSP"
"392","2","1","2","2","RLD"
"393","3","2","3","2","RLD"
"394","2","2","2","2","BJP"
"395","3","1","3","2","BSP"
"396","3","2","3","2","SP"
"397","3","2","3","3","SP"
"398","3","2","3","1","IND"
"399","3","2","3","2","SP"
"400","3","1","3","3","BJP"
"401","3","2","3","2","INC"
"402","3","2","3","2","BJP"
"403","2","2","2","2","SP"
"404","3","2","3","3","INC"
"405","3","2","3","2","INC"
"406","3","1","3","2","BSP"
"407","2","1","2","2","SP"
"408","2","2","2","2","BSP"
"409","3","1","3","3","INC"
"410","2","1","2","3","SP"
"411","3","2","3","3","BJP"
"412","3","1","3","3","INC"
"413","3","2","3","2","INC"
"414","3","2","3","3","INC"
"415","3","1","3","2","INC"
"416","3","2","3","3","INC"
"417","2","2","2","2","SP"
"418","3","2","3","2","SP"
"419","3","2","3","3","INC"
"420","3","2","3","2","INC"
"421","2","2","2","2","SP"
"422","3","2","3","2","INC"
"423","3","2","3","3","BSP"
"424","3","2","3","2","SP"
"425","3","2","3","3","SP"
"426","2","2","2","3","SP"
"427","3","2","3","2","BSP"
"428","3","2","3","3","SP"
"429","2","2","2","3","INC"
"430","3","2","3","3","INC"
"431","3","2","3","3","BSP"
"432","2","2","2","3","INC"
"433","3","2","3","3","SP"
"434","3","2","3","2","INC"
"435","3","2","3","3","INC"
"436","3","2","3","3","INC"
"437","3","2","3","2","BSP"
"438","3","2","3","2","BSP"
"439","3","2","3","3","INC"
"440","3","2","3","2","BJP"
"441","3","2","3","2","INC"
"442","3","2","3","3","BSP"
"443","2","2","2","2","BJP"
"444","2","2","2","3","BSP"
"445","3","2","3","2","BJP"
"446","3","2","3","2","BSP"
"447","3","2","3","2","BSP"
"448","3","2","3","2","SP"
"449","3","2","3","2","BSP"
"450","2","2","2","2","SP"
"451","3","2","3","2","SP"
"452","3","2","3","2","SP"
"453","3","2","3","3","BJP"
"454","3","2","3","3","BSP"
"455","3","2","3","2","SP"
"456","2","2","2","3","SP"
"457","2","2","2","2","AIFB"
"458","1","2","1","3","RSP"
"459","2","2","2","3","CPM"
"460","3","2","3","3","BJP"
"461","3","1","3","2","INC"
"462","3","2","3","3","RSP"
"463","3","1","3","2","INC"
"464","3","2","3","3","INC"
"465","3","2","3","3","INC"
"466","3","2","3","3","INC"
"467","3","2","3","3","INC"
"468","3","2","3","3","AITC"
"469","2","2","2","3","AITC"
"470","2","2","2","3","AITC"
"471","3","2","3","3","AITC"
"472","3","2","3","3","AITC"
"473","3","1","3","2","AITC"
"474","3","2","3","2","AITC"
"475","2","2","2","2","IND"
"476","2","2","2","3","AITC"
"477","3","2","3","3","AITC"
"478","3","2","3","3","AITC"
"479","3","1","3","3","AITC"
"480","3","2","3","3","AITC"
"481","3","2","3","1","AITC"
"482","3","2","3","3","AITC"
"483","3","2","3","3","AITC"
"484","3","1","3","3","AITC"
"485","2","2","2","2","CPM"
"486","3","2","3","2","AITC"
"487","3","2","3","3","AITC"
"488","3","2","3","3","CPI"
"489","1","2","1","2","CPM"
"490","3","2","3","3","CPI"
"491","3","2","3","3","AIFB"
"492","3","2","3","3","CPM"
"493","2","1","2","2","CPM"
"494","2","2","2","3","CPM"
"495","3","2","3","3","CPM"
"496","3","2","3","2","CPM"
"497","2","2","2","3","CPM"
"498","3","1","3","2","AITC"
"499","1","2","1","2","BJP"
"500","1","2","1","2","BJP"
"501","2","1","2","2","BJP"
"502","3","2","3","3","INC"
"503","3","2","3","3","BJP"
"504","3","2","3","2","BJP"
"505","3","1","3","2","BJP"
"506","3","2","3","3","BJP"
"507","3","2","3","2","BJP"
"508","1","2","1","3","BJP"
"509","1","2","1","2","BJP"
"510","1","2","1","3","BJP"
"511","1","2","1","3","JMM"
"512","3","2","3","2","BJP"
"513","3","2","3","3","IND"
"514","3","2","1","3","JVM"
"515","3","2","3","2","BJP"
"516","3","2","3","3","BJP"
"517","3","2","3","3","INC"
"518","3","2","1","2","BJP"
"519","1","2","1","2","IND"
"520","1","2","1","3","BJP"
"521","1","2","1","2","BJP"
"522","2","2","2","3","JMM"
"523","3","2","3","3","BJP"
"524","3","2","3","3","INC"
"525","3","2","3","3","INC"
"526","2","2","2","2","INC"
"527","3","2","3","3","INC"
"528","3","2","3","3","INC"
"529","3","2","3","3","BJP"
"530","3","2","3","3","INC"
"531","3","2","1","2","BJP"
"532","3","2","3","3","BJP"
"533","3","2","3","3","INC"
"534","3","2","3","3","INC"
"535","3","2","3","2","INC"
"536","3","2","3","2","INC"
"537","2","1","2","3","INC"
"538","3","2","3","3","INC"
"539","3","2","3","3","INC"
"540","1","2","1","2","INC"
"541","3","2","3","3","INC"
